file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.0400.bin,1.0,4.0,0.6,True,0.000954594233969325,4.712388980384691,0.04,1633478.507816798,ST,0.030299044066336402
orbit_a0.0500.bin,1.0,4.0,0.6,True,0.000954594233969325,4.712388980384691,0.05,1633478.507816798,ST,0.03569066442893891
orbit_a0.0600.bin,1.0,4.0,0.6,True,0.000954594233969325,4.712388980384691,0.06,1633478.507816798,ST,0.035612560347980125
orbit_a0.0700.bin,1.0,4.0,0.6,True,0.000954594233969325,4.712388980384691,0.06999999999999999,987159.1061373431,CA,
orbit_a0.0800.bin,1.0,4.0,0.6,True,0.000954594233969325,4.712388980384691,0.08,8860.588500907252,EJ,
