file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.0200.bin,1.0,1.0,0.8,False,0.000954594233969325,3.1415926535897927,0.02,2582756.29681712,ST,0.03940106623022524
orbit_p0.0300.bin,1.0,1.0,0.8,False,0.000954594233969325,3.1415926535897927,0.03,2582756.29681712,ST,0.04848574793184242
orbit_p0.0400.bin,1.0,1.0,0.8,False,0.000954594233969325,3.1415926535897927,0.04,2582756.29681712,ST,0.05698017601321359
orbit_p0.0500.bin,1.0,1.0,0.8,False,0.000954594233969325,3.1415926535897927,0.05,2582756.29681712,ST,0.2027864390332433
orbit_p0.0600.bin,1.0,1.0,0.8,False,0.000954594233969325,3.1415926535897927,0.06,94791.89945463117,CA,
