file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.0300.bin,1.0,2.333333333333333,0.7,True,0.000954594233969325,1.5707963267948966,0.03,2000594.4249770087,ST,0.035327908144622465
orbit_a0.0400.bin,1.0,2.333333333333333,0.7,True,0.000954594233969325,1.5707963267948966,0.04,2000594.4249770087,ST,0.042104051573138665
orbit_a0.0500.bin,1.0,2.333333333333333,0.7,True,0.000954594233969325,1.5707963267948966,0.05,2000594.4249770087,ST,0.04328822893752672
orbit_a0.0600.bin,1.0,2.333333333333333,0.7,True,0.000954594233969325,1.5707963267948966,0.06000000000000001,159732.49390420484,CA,
orbit_a0.0700.bin,1.0,2.333333333333333,0.7,True,0.000954594233969325,1.5707963267948966,0.07,2897.3020319350862,CA,
