{'file': 'orbit_p0.03.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.03, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.04.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.04, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.05.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.05, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.06.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.06, 't_stop (day)': 372212.2511242789, 'stability': 'CA'}
{'file': 'orbit_a0.03.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.03, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_a0.04.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.04, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_a0.05.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.05, 't_stop (day)': 972557.3707505749, 'stability': 'CA'}
{'file': 'orbit_a0.06.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.06, 't_stop (day)': 28265.151831755313, 'stability': 'CA'}
{'file': 'orbit_p0.03.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.03, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.04.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.04, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.05.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.05, 't_stop (day)': 2886346.4115567603, 'stability': 'CA'}
{'file': 'orbit_p0.06.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.06, 't_stop (day)': 36672.182087800975, 'stability': 'CA'}
{'file': 'orbit_a0.03.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.03, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_a0.04.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.04, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_a0.05.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.05, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_a0.06.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.06, 't_stop (day)': 111079.02451443592, 'stability': 'CA'}
{'file': 'orbit_p0.03.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.03, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.04.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.04, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.05.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.05, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.06.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.06, 't_stop (day)': 318385.9867996872, 'stability': 'EJ'}
{'file': 'orbit_a0.03.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.03, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_a0.04.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.04, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_a0.05.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.05, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_a0.06.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.06, 't_stop (day)': 77084.51821169973, 'stability': 'EJ'}
{'file': 'orbit_p0.03.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.03, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.04.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.04, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
{'file': 'orbit_p0.05.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.4285714285714286, 'e': 0.8, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.05, 't_stop (day)': 3055958.462454599, 'stability': 'ST'}
