file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.08,2582756.29681712,ST,0.044356750576835004
orbit_p0.09.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.09,2582756.29681712,ST,0.048487687348337694
orbit_p0.10.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.1,2582756.29681712,ST,0.05178806719830787
orbit_p0.11.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.11,2582756.29681712,ST,0.05735130333214027
orbit_p0.12.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.12,2582756.29681712,ST,0.07730836377277729
orbit_p0.13.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.13,99688.91467131588,CA,
orbit_p0.14.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.14,3587.1107701165693,CA,
orbit_p0.15.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.15,7072.078308365202,EJ,
orbit_p0.16.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.16,15810.887602327915,EJ,
orbit_p0.17.bin,1.0,1.0,0.5,False,0.0,4.712388980384691,0.17,1066.4643194134876,CA,
