file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.1100.bin,1.0,9.0,0.0,False,0.028637827019079756,1.5707963267948966,0.11,1155043.7297997407,ST,0.04617858703172038
orbit_p0.1200.bin,1.0,9.0,0.0,False,0.028637827019079756,1.5707963267948966,0.12,1155043.7297997407,ST,0.08374192823891727
orbit_p0.1300.bin,1.0,9.0,0.0,False,0.028637827019079756,1.5707963267948966,0.13,1155043.7297997407,ST,0.18382111060446224
orbit_p0.1400.bin,1.0,9.0,0.0,False,0.028637827019079756,1.5707963267948966,0.14,101417.650929414,CA,
orbit_p0.1500.bin,1.0,9.0,0.0,False,0.028637827019079756,1.5707963267948966,0.15,59783.489994586955,CA,
