file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.0600.bin,1.0,0.25,0.7,True,0.028637827019079756,3.1415926535897927,0.06,3266957.015633596,ST,0.07474448608872165
orbit_a0.0700.bin,1.0,0.25,0.7,True,0.028637827019079756,3.1415926535897927,0.07,3266957.015633596,ST,0.08107761400493341
orbit_a0.0800.bin,1.0,0.25,0.7,True,0.028637827019079756,3.1415926535897927,0.08,3266957.015633596,ST,0.10456764596292667
orbit_a0.0900.bin,1.0,0.25,0.7,True,0.028637827019079756,3.1415926535897927,0.09,3266957.015633596,ST,0.21442640874683774
orbit_a0.1000.bin,1.0,0.25,0.7,True,0.028637827019079756,3.1415926535897927,0.1,187822.02359409878,CA,
