file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.24.bin,1.0,0.4285714285714286,0.2,True,0.0,4.712388980384691,0.24,3055958.462454599,ST,0.03139510219491695
orbit_a0.25.bin,1.0,0.4285714285714286,0.2,True,0.0,4.712388980384691,0.25,3055958.462454599,ST,0.04045233024464372
orbit_a0.26.bin,1.0,0.4285714285714286,0.2,True,0.0,4.712388980384691,0.26,3055958.462454599,ST,0.040021954114460856
orbit_a0.27.bin,1.0,0.4285714285714286,0.2,True,0.0,4.712388980384691,0.27,2158643.9007298565,CA,
