file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.1000.bin,1.0,1.0,0.5,False,0.000954594233969325,4.712388980384691,0.1,2582756.29681712,ST,0.05428422525222682
orbit_p0.1100.bin,1.0,1.0,0.5,False,0.000954594233969325,4.712388980384691,0.11,2582756.29681712,ST,0.0577700040562271
orbit_p0.1200.bin,1.0,1.0,0.5,False,0.000954594233969325,4.712388980384691,0.12,2582756.29681712,ST,0.0854359826817984
orbit_p0.1300.bin,1.0,1.0,0.5,False,0.000954594233969325,4.712388980384691,0.13,84970.29074861473,CA,
orbit_p0.1400.bin,1.0,1.0,0.5,False,0.000954594233969325,4.712388980384691,0.14,38002.99566742474,CA,
