file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.1800.bin,1.0,1.5,0.1,False,0.000954594233969325,1.5707963267948966,0.18000000000000002,2310087.4595994814,ST,0.0513858074918371
orbit_p0.1900.bin,1.0,1.5,0.1,False,0.000954594233969325,1.5707963267948966,0.19,2310087.4595994814,ST,0.06150820249326881
orbit_p0.2000.bin,1.0,1.5,0.1,False,0.000954594233969325,1.5707963267948966,0.2,2310087.4595994814,ST,0.0845686443917284
orbit_p0.2100.bin,1.0,1.5,0.1,False,0.000954594233969325,1.5707963267948966,0.21,2310087.4595994814,ST,0.11956132364499032
orbit_p0.2200.bin,1.0,1.5,0.1,False,0.000954594233969325,1.5707963267948966,0.22,1379.5138988668061,CA,
