{'file': 'orbit_p0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.32, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_p0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.33, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_p0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.34, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_p0.3500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.35, 't_stop (day)': 171818.40971498276, 'stability': 'CA'}
{'file': 'orbit_p0.3600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.36, 't_stop (day)': 45848.29469351141, 'stability': 'CA'}
{'file': 'orbit_a0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.32, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_a0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.33, 't_stop (day)': 735580.7569331484, 'stability': 'CA'}
{'file': 'orbit_a0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.34, 't_stop (day)': 81828.57117928189, 'stability': 'CA'}
{'file': 'orbit_a0.3500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.35, 't_stop (day)': 358312.32951145415, 'stability': 'CA'}
{'file': 'orbit_a0.3600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 0.0, 'a (AU)': 0.36, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_p0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.32, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_p0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.33, 't_stop (day)': 182141.83157187208, 'stability': 'CA'}
{'file': 'orbit_p0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.34, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_p0.3500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.35, 't_stop (day)': 256870.9995811766, 'stability': 'CA'}
{'file': 'orbit_p0.3600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.36, 't_stop (day)': 116678.13489096389, 'stability': 'CA'}
{'file': 'orbit_a0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.32, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_a0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.33, 't_stop (day)': 376162.9628304366, 'stability': 'CA'}
{'file': 'orbit_a0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.34, 't_stop (day)': 238649.0249032939, 'stability': 'CA'}
{'file': 'orbit_a0.3500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.35, 't_stop (day)': 271177.74857330124, 'stability': 'CA'}
{'file': 'orbit_a0.3600.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': True, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.36, 't_stop (day)': 395696.5688665396, 'stability': 'CA'}
{'file': 'orbit_p0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 3.141592653589793, 'a (AU)': 0.32, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_p0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 3.141592653589793, 'a (AU)': 0.33, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
{'file': 'orbit_p0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 3.141592653589793, 'a (AU)': 0.34, 't_stop (day)': 100015.23199458938, 'stability': 'CA'}
{'file': 'orbit_p0.3500.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.11111111111111112, 'e': 0.2, 'apapse': False, 'm_P (Msun)': 0.028637827019079753, 'l (rad)': 3.141592653589793, 'a (AU)': 0.35, 't_stop (day)': 3465131.189399222, 'stability': 'ST'}
