file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,9.000000000000002,0.3,False,0.0,1.5707963267948966,0.08,1155043.7297997407,ST,0.06272274527403385
orbit_p0.09.bin,1.0,9.000000000000002,0.3,False,0.0,1.5707963267948966,0.09,1155043.7297997407,ST,0.10396599951017023
orbit_p0.10.bin,1.0,9.000000000000002,0.3,False,0.0,1.5707963267948966,0.1,3843.352667783836,CA,
orbit_p0.11.bin,1.0,9.000000000000002,0.3,False,0.0,1.5707963267948966,0.11,1150.0859641528332,CA,
