file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.0500.bin,1.0,9.0,0.4,True,0.028637827019079756,4.712388980384691,0.05,1155043.7297997407,ST,0.019481112774925313
orbit_a0.0600.bin,1.0,9.0,0.4,True,0.028637827019079756,4.712388980384691,0.06000000000000001,1155043.7297997407,ST,0.021444230182733802
orbit_a0.0700.bin,1.0,9.0,0.4,True,0.028637827019079756,4.712388980384691,0.07,1155043.7297997407,ST,0.02322115736664055
orbit_a0.0800.bin,1.0,9.0,0.4,True,0.028637827019079756,4.712388980384691,0.08,1155043.7297997407,ST,0.028335653499519452
orbit_a0.0900.bin,1.0,9.0,0.4,True,0.028637827019079756,4.712388980384691,0.09000000000000001,35541.89831263672,CA,
