file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.0600.bin,1.0,0.6666666666666667,0.7,False,0.0,3.1415926535897927,0.06,2829267.7686104896,ST,0.056264573264227485
orbit_p0.0700.bin,1.0,0.6666666666666667,0.7,False,0.0,3.1415926535897927,0.07,2829267.7686104896,ST,0.05136450135825145
orbit_p0.0800.bin,1.0,0.6666666666666667,0.7,False,0.0,3.1415926535897927,0.08,2829267.7686104896,ST,0.03496888854477049
orbit_p0.0900.bin,1.0,0.6666666666666667,0.7,False,0.0,3.1415926535897927,0.09,97612.71612112789,CA,
