file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.08,2582756.29681712,ST,0.04461428458104819
orbit_a0.09.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.09,2582756.29681712,ST,0.047649492084035405
orbit_a0.10.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.1,2582756.29681712,ST,0.049282741338871325
orbit_a0.11.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.11,2582756.29681712,ST,0.04918671917847308
orbit_a0.12.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.12,2582756.29681712,ST,0.0504383855106349
orbit_a0.13.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.13,1747730.1796082272,CA,
orbit_a0.14.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.14,30897.105154695528,CA,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.15,11011.021529578398,CA,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.16,3243.2731428058883,CA,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.000954594233969325,1.5707963267948966,0.17,19137.02257771129,EJ,
