file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.08,2582756.29681712,ST,0.044285301114220806
orbit_p0.09.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.09,2582756.29681712,ST,0.04847084509223117
orbit_p0.10.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.1,2582756.29681712,ST,0.05304555910286366
orbit_p0.11.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.11,2582756.29681712,ST,0.05729061926615316
orbit_p0.12.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.12,2582756.29681712,ST,0.07834582609681523
orbit_p0.13.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.13,33297.926282500935,CA,
orbit_p0.14.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.14,31817.878398179662,CA,
orbit_p0.15.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.15,1072.0541146845983,CA,
orbit_p0.16.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.16,1823.8562584271897,CA,
orbit_p0.17.bin,1.0,1.0,0.5,False,0.000954594233969325,1.5707963267948966,0.17,501.9579719808273,CA,
