file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.2200.bin,1.0,0.6666666666666667,0.2,False,0.0,4.712388980384691,0.22,2829267.7686104896,ST,0.076226981314245
orbit_p0.2300.bin,1.0,0.6666666666666667,0.2,False,0.0,4.712388980384691,0.23,2829267.7686104896,ST,0.13526082410458368
orbit_p0.2400.bin,1.0,0.6666666666666667,0.2,False,0.0,4.712388980384691,0.24,581991.8067852996,CA,
orbit_p0.2500.bin,1.0,0.6666666666666667,0.2,False,0.0,4.712388980384691,0.25,15121.427391806521,CA,
