file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.0700.bin,1.0,9.0,0.3,True,0.000954594233969325,4.712388980384691,0.06999999999999999,1155043.7297997407,ST,0.020245608700172404
orbit_a0.0800.bin,1.0,9.0,0.3,True,0.000954594233969325,4.712388980384691,0.08,1155043.7297997407,ST,0.02332689945417678
orbit_a0.0900.bin,1.0,9.0,0.3,True,0.000954594233969325,4.712388980384691,0.09,1155043.7297997407,ST,0.028335329409789316
orbit_a0.1000.bin,1.0,9.0,0.3,True,0.000954594233969325,4.712388980384691,0.1,1155043.7297997407,ST,0.056966271848167285
orbit_a0.1100.bin,1.0,9.0,0.3,True,0.000954594233969325,4.712388980384691,0.11,913.9276317728182,CB,
