file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.08,2582756.29681712,ST,0.04531976834848419
orbit_p0.09.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.09,2582756.29681712,ST,0.04954337218083165
orbit_p0.10.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.1,2582756.29681712,ST,0.054515873881361955
orbit_p0.11.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.11,2582756.29681712,ST,0.061187722314491585
orbit_p0.12.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.12,2582756.29681712,ST,0.0802597142764488
orbit_p0.13.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.13,61970.124271292996,EJ,
orbit_p0.14.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.14,21704.728718063227,EJ,
orbit_p0.15.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.15,6726.0264342288865,CA,
orbit_p0.16.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.16,1533.305427840122,CA,
orbit_p0.17.bin,1.0,1.0,0.5,False,0.0,5.497787143782138,0.17,4660.8826073101945,EJ,
