file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.36.bin,1.0,0.4285714285714286,0.0,True,0.0,1.5707963267948966,0.36,3055958.462454599,ST,0.13733344537463055
orbit_a0.37.bin,1.0,0.4285714285714286,0.0,True,0.0,1.5707963267948966,0.37,3055958.462454599,ST,0.16431762736182473
orbit_a0.38.bin,1.0,0.4285714285714286,0.0,True,0.0,1.5707963267948966,0.38,249.55415465544658,CA,
orbit_a0.39.bin,1.0,0.4285714285714286,0.0,True,0.0,1.5707963267948966,0.39,189.07381403846546,CB,
