file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.1000.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.1,2582756.29681712,ST,0.052900717272465106
orbit_p0.1100.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.11,2582756.29681712,ST,0.0652474184244809
orbit_p0.1200.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.12,2582756.29681712,ST,0.059623883748165594
orbit_p0.1300.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.13,55842.140788412566,CA,
orbit_p0.1400.bin,1.0,1.0,0.5,False,0.028637827019079756,4.712388980384691,0.14,30276.81922386924,CA,
