file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability
orbit_p0.25.bin,1.0,1.0,0.0,False,0.0,4.71238898038469,0.25,2582756.29681712,ST
orbit_p0.26.bin,1.0,1.0,0.0,False,0.0,4.71238898038469,0.26,2582756.29681712,ST
orbit_p0.27.bin,1.0,1.0,0.0,False,0.0,4.71238898038469,0.27,520.6448214257841,CA
orbit_p0.28.bin,1.0,1.0,0.0,False,0.0,4.71238898038469,0.28,473.1947107683003,CB
