file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.0300.bin,1.0,0.11111111111111112,0.8,False,0.000954594233969325,3.1415926535897927,0.03,3465131.189399222,ST,0.06524230128591874
orbit_p0.0400.bin,1.0,0.11111111111111112,0.8,False,0.000954594233969325,3.1415926535897927,0.04,3465131.189399222,ST,0.08469603168158318
orbit_p0.0500.bin,1.0,0.11111111111111112,0.8,False,0.000954594233969325,3.1415926535897927,0.05,3465131.189399222,ST,0.09686911929252306
orbit_p0.0600.bin,1.0,0.11111111111111112,0.8,False,0.000954594233969325,3.1415926535897927,0.06000000000000001,3465131.189399222,ST,0.14005389703095456
orbit_p0.0700.bin,1.0,0.11111111111111112,0.8,False,0.000954594233969325,3.1415926535897927,0.07,142655.5266728234,CA,
