{'file': 'orbit_p0.23.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.23, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.24.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.24, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.25.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.25, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.26.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.26, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.23.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.23, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.24.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.24, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.25.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.25, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.26.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.0, 'a (AU)': 0.26, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.23.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.7853981633974483, 'a (AU)': 0.23, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.24.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.7853981633974483, 'a (AU)': 0.24, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.25.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.7853981633974483, 'a (AU)': 0.25, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.26.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 0.7853981633974483, 'a (AU)': 0.26, 't_stop (day)': 8345.802132918396, 'stability': 'CA'}
{'file': 'orbit_a0.23.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.7853981633974483, 'a (AU)': 0.23, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.24.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.7853981633974483, 'a (AU)': 0.24, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.25.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.7853981633974483, 'a (AU)': 0.25, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.26.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 0.7853981633974483, 'a (AU)': 0.26, 't_stop (day)': 102309.13277593414, 'stability': 'CB'}
{'file': 'orbit_p0.23.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.23, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.24.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.24, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_p0.25.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.25, 't_stop (day)': 10341.528657614617, 'stability': 'CA'}
{'file': 'orbit_p0.26.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.26, 't_stop (day)': 293.4858446021215, 'stability': 'CA'}
{'file': 'orbit_a0.23.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.23, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.24.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.24, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.25.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.25, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
{'file': 'orbit_a0.26.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 1.5707963267948966, 'a (AU)': 0.26, 't_stop (day)': 20263.404810677886, 'stability': 'CA'}
{'file': 'orbit_p0.23.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 1.0, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 2.356194490192345, 'a (AU)': 0.23, 't_stop (day)': 2582756.29681712, 'stability': 'ST'}
