file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.08,2582756.29681712,ST,0.04272714198607823
orbit_a0.09.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.09,2582756.29681712,ST,0.04561190557198351
orbit_a0.10.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.1,2582756.29681712,ST,0.04732342966625326
orbit_a0.11.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.11,2582756.29681712,ST,0.04748659794346261
orbit_a0.12.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.12,2582756.29681712,ST,0.0497921309815576
orbit_a0.13.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.13,555586.8687473382,CA,
orbit_a0.14.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.14,29705.5801436094,EJ,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.15,7158.556892201163,CA,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.16,6320.3431622446,CA,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.028637827019079756,1.5707963267948966,0.17,3699.7181337687616,CA,
