file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.08,2582756.29681712,ST,0.04453925884222342
orbit_a0.09.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.09,2582756.29681712,ST,0.04740720276210712
orbit_a0.10.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.1,2582756.29681712,ST,0.04862877432189279
orbit_a0.11.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.11,2582756.29681712,ST,0.05006540808145846
orbit_a0.12.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.12,2582756.29681712,ST,0.05154386207632297
orbit_a0.13.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.13,1784900.211328898,CA,
orbit_a0.14.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.14,70469.60166872326,CA,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.15,16666.195653622493,EJ,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.16,4003.933957268058,CA,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.000954594233969325,3.9269908169872414,0.17,5309.30185088613,CA,
