file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,9.000000000000002,0.3,False,0.0,3.1415926535897927,0.08,1155043.7297997407,ST,0.02286701304193351
orbit_p0.09.bin,1.0,9.000000000000002,0.3,False,0.0,3.1415926535897927,0.09,1155043.7297997407,ST,0.03341834709335362
orbit_p0.10.bin,1.0,9.000000000000002,0.3,False,0.0,3.1415926535897927,0.1,1155043.7297997407,ST,0.04418709427753175
orbit_p0.11.bin,1.0,9.000000000000002,0.3,False,0.0,3.1415926535897927,0.11,1005016.1610006968,CA,
