file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.1100.bin,1.0,0.11111111111111112,0.6,True,0.028637827019079756,0.0,0.11,3465131.189399222,ST,0.10907720107168065
orbit_a0.1200.bin,1.0,0.11111111111111112,0.6,True,0.028637827019079756,0.0,0.12,3465131.189399222,ST,0.10434874592530133
orbit_a0.1300.bin,1.0,0.11111111111111112,0.6,True,0.028637827019079756,0.0,0.13,1890844.51445166,CA,
orbit_a0.1400.bin,1.0,0.11111111111111112,0.6,True,0.028637827019079756,0.0,0.14,1271711.2924733465,CA,
orbit_a0.1500.bin,1.0,0.11111111111111112,0.6,True,0.028637827019079756,0.0,0.15,97781.84151810202,CA,
