file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.1200.bin,1.0,1.4999999999999998,0.4,True,0.0,3.1415926535897927,0.12,2310087.4595994814,ST,0.0407988130003101
orbit_a0.1300.bin,1.0,1.4999999999999998,0.4,True,0.0,3.1415926535897927,0.13,2310087.4595994814,ST,0.040861908459351816
orbit_a0.1400.bin,1.0,1.4999999999999998,0.4,True,0.0,3.1415926535897927,0.14,2310087.4595994814,ST,0.02520581712076231
orbit_a0.1500.bin,1.0,1.4999999999999998,0.4,True,0.0,3.1415926535897927,0.15,2310087.4595994814,ST,0.05463057812975371
