file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.0300.bin,1.0,1.4999999999999998,0.7,False,0.028637827019079756,3.1415926535897927,0.03,2310087.4595994814,ST,0.0332676169470065
orbit_p0.0400.bin,1.0,1.4999999999999998,0.7,False,0.028637827019079756,3.1415926535897927,0.04,2310087.4595994814,ST,0.03908067702022545
orbit_p0.0500.bin,1.0,1.4999999999999998,0.7,False,0.028637827019079756,3.1415926535897927,0.05,2310087.4595994814,ST,0.040183491436775964
orbit_p0.0600.bin,1.0,1.4999999999999998,0.7,False,0.028637827019079756,3.1415926535897927,0.06000000000000001,2310087.4595994814,ST,0.03545533324017344
orbit_p0.0700.bin,1.0,1.4999999999999998,0.7,False,0.028637827019079756,3.1415926535897927,0.07,433943.49803992594,CA,
