file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.2500.bin,1.0,0.6666666666666667,0.1,False,0.028637827019079756,3.1415926535897927,0.25,2829267.7686104896,ST,0.032724582795635136
orbit_p0.2600.bin,1.0,0.6666666666666667,0.1,False,0.028637827019079756,3.1415926535897927,0.26,2829267.7686104896,ST,0.03824124957055942
orbit_p0.2700.bin,1.0,0.6666666666666667,0.1,False,0.028637827019079756,3.1415926535897927,0.27,2829267.7686104896,ST,0.03736978884354778
orbit_p0.2800.bin,1.0,0.6666666666666667,0.1,False,0.028637827019079756,3.1415926535897927,0.28,2829267.7686104896,ST,0.04566142101126189
orbit_p0.2900.bin,1.0,0.6666666666666667,0.1,False,0.028637827019079756,3.1415926535897927,0.29000000000000004,2829267.7686104896,ST,0.057927437645403736
