file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.0200.bin,1.0,0.4285714285714286,0.8,False,0.028637827019079756,3.1415926535897927,0.02,3055958.462454599,ST,0.04109971209900999
orbit_p0.0300.bin,1.0,0.4285714285714286,0.8,False,0.028637827019079756,3.1415926535897927,0.03,3055958.462454599,ST,0.05676171807074544
orbit_p0.0400.bin,1.0,0.4285714285714286,0.8,False,0.028637827019079756,3.1415926535897927,0.04,3055958.462454599,ST,0.06787733548946305
orbit_p0.0500.bin,1.0,0.4285714285714286,0.8,False,0.028637827019079756,3.1415926535897927,0.05,3055958.462454599,ST,0.1265438105906113
orbit_p0.0600.bin,1.0,0.4285714285714286,0.8,False,0.028637827019079756,3.1415926535897927,0.06,418698.284583597,CA,
