file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.08,2582756.29681712,ST,0.044997900310979354
orbit_p0.09.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.09,2582756.29681712,ST,0.049872959801424796
orbit_p0.10.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.1,2582756.29681712,ST,0.05787829835346758
orbit_p0.11.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.11,2582756.29681712,ST,0.06196839653726256
orbit_p0.12.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.12,2582756.29681712,ST,0.07389708515784348
orbit_p0.13.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.13,862733.6240598905,CA,
orbit_p0.14.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.14,50021.94028602958,CA,
orbit_p0.15.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.15,38628.0344586141,CA,
orbit_p0.16.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.16,20571.205498747826,CA,
orbit_p0.17.bin,1.0,1.0,0.5,False,0.028637827019079756,0.0,0.17,17726.769618385362,CA,
