file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.08,2582756.29681712,ST,0.042748881711094415
orbit_a0.09.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.09,2582756.29681712,ST,0.04554102972587499
orbit_a0.10.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.1,2582756.29681712,ST,0.047052873690315966
orbit_a0.11.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.11,2582756.29681712,ST,0.047298239729713344
orbit_a0.12.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.12,2582756.29681712,ST,0.051791882268214864
orbit_a0.13.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.13,344223.8874719718,CA,
orbit_a0.14.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.14,31886.927360197576,CA,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.15,5442.380601515605,CA,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.16,3278.7302608123573,CA,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.028637827019079756,4.712388980384691,0.17,2036.5125768156838,CA,
