file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.08,2582756.29681712,ST,0.04474803514721366
orbit_a0.09.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.09,2582756.29681712,ST,0.04776189855986199
orbit_a0.10.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.1,2582756.29681712,ST,0.04931656832390833
orbit_a0.11.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.11,2582756.29681712,ST,0.049316081241874386
orbit_a0.12.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.12,2582756.29681712,ST,0.053008250608158586
orbit_a0.13.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.13,2582756.29681712,ST,0.05528245503055844
orbit_a0.14.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.14,129885.90190718613,EJ,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.15,6869.551855694622,CA,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.16,7814.0936924051075,EJ,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.0,1.5707963267948966,0.17,10284.340601178972,EJ,
