file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.08.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.08,2582756.29681712,ST,0.044331121128754016
orbit_p0.09.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.09,2582756.29681712,ST,0.0485131596919408
orbit_p0.10.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.1,2582756.29681712,ST,0.05162853478344454
orbit_p0.11.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.11,2582756.29681712,ST,0.057400281416788206
orbit_p0.12.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.12,2582756.29681712,ST,0.08117102250129629
orbit_p0.13.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.13,30285.864013336337,CA,
orbit_p0.14.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.14,30206.537363164876,EJ,
orbit_p0.15.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.15,1556.6835813942234,CA,
orbit_p0.16.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.16,1289.4953386946656,CA,
orbit_p0.17.bin,1.0,1.0,0.5,False,0.0,1.5707963267948966,0.17,502.6230051501908,CA,
