file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.1000.bin,1.0,4.0,0.3,True,0.028637827019079756,0.0,0.1,1633478.507816798,ST,0.026611609077932565
orbit_a0.1100.bin,1.0,4.0,0.3,True,0.028637827019079756,0.0,0.11,1633478.507816798,ST,0.03090401161338977
orbit_a0.1200.bin,1.0,4.0,0.3,True,0.028637827019079756,0.0,0.12,1633478.507816798,ST,0.028817341629658672
orbit_a0.1300.bin,1.0,4.0,0.3,True,0.028637827019079756,0.0,0.13,1633478.507816798,ST,0.028860053609863174
orbit_a0.1400.bin,1.0,4.0,0.3,True,0.028637827019079756,0.0,0.14,6290.511607589578,CA,
