file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.0700.bin,1.0,0.11111111111111112,0.7,False,0.000954594233969325,1.5707963267948966,0.06999999999999999,3465131.189399222,ST,0.09270979848374204
orbit_p0.0800.bin,1.0,0.11111111111111112,0.7,False,0.000954594233969325,1.5707963267948966,0.08,3465131.189399222,ST,0.10028800711337636
orbit_p0.0900.bin,1.0,0.11111111111111112,0.7,False,0.000954594233969325,1.5707963267948966,0.09,3465131.189399222,ST,0.11329020562494238
orbit_p0.1000.bin,1.0,0.11111111111111112,0.7,False,0.000954594233969325,1.5707963267948966,0.1,3465131.189399222,ST,0.12607676277012328
orbit_p0.1100.bin,1.0,0.11111111111111112,0.7,False,0.000954594233969325,1.5707963267948966,0.11,660666.8988500909,CA,
