file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.08,2582756.29681712,ST,0.04451641001949003
orbit_a0.09.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.09,2582756.29681712,ST,0.04724803313463844
orbit_a0.10.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.1,2582756.29681712,ST,0.048512940315506445
orbit_a0.11.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.11,2582756.29681712,ST,0.05033544370819974
orbit_a0.12.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.12,2582756.29681712,ST,0.06430117460830957
orbit_a0.13.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.13,1760784.9338601688,CA,
orbit_a0.14.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.14,43280.43762940684,CA,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.15,25433.9919486102,CA,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.16,15598.178031083204,EJ,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.0,3.1415926535897927,0.17,5540.905055882994,CA,
