file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.0800.bin,1.0,9.0,0.2,False,0.028637827019079756,0.0,0.08,1155043.7297997407,ST,0.022549106091949565
orbit_p0.0900.bin,1.0,9.0,0.2,False,0.028637827019079756,0.0,0.09000000000000001,1155043.7297997407,ST,0.028779505461704043
orbit_p0.1000.bin,1.0,9.0,0.2,False,0.028637827019079756,0.0,0.1,1155043.7297997407,ST,0.03627814292696618
orbit_p0.1100.bin,1.0,9.0,0.2,False,0.028637827019079756,0.0,0.11,1155043.7297997407,ST,0.05037933016911165
orbit_p0.1200.bin,1.0,9.0,0.2,False,0.028637827019079756,0.0,0.12,1155043.7297997407,ST,0.06143760108637235
