file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.17.bin,1.0,2.333333333333333,0.1,False,0.0,4.712388980384691,0.17,2000594.4249770087,ST,0.07923163168596394
orbit_p0.18.bin,1.0,2.333333333333333,0.1,False,0.0,4.712388980384691,0.18,2000594.4249770087,ST,0.11552682718691212
orbit_p0.19.bin,1.0,2.333333333333333,0.1,False,0.0,4.712388980384691,0.19,9286.360553846547,CA,
orbit_p0.20.bin,1.0,2.333333333333333,0.1,False,0.0,4.712388980384691,0.2,5983.811507808461,CA,
