file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.1000.bin,1.0,4.0,0.3,True,0.028637827019079756,3.1415926535897927,0.1,1633478.507816798,ST,0.02338214102833425
orbit_a0.1100.bin,1.0,4.0,0.3,True,0.028637827019079756,3.1415926535897927,0.11,1633478.507816798,ST,0.02405965224744465
orbit_a0.1200.bin,1.0,4.0,0.3,True,0.028637827019079756,3.1415926535897927,0.12,1633478.507816798,ST,0.03526772299584007
orbit_a0.1300.bin,1.0,4.0,0.3,True,0.028637827019079756,3.1415926535897927,0.13,1633478.507816798,ST,0.06401996923860319
orbit_a0.1400.bin,1.0,4.0,0.3,True,0.028637827019079756,3.1415926535897927,0.14,7717.651074083573,EJ,
