file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.1100.bin,1.0,1.5,0.4,False,0.000954594233969325,4.712388980384691,0.11,2310087.4595994814,ST,0.04489424471667584
orbit_p0.1200.bin,1.0,1.5,0.4,False,0.000954594233969325,4.712388980384691,0.12,2310087.4595994814,ST,0.057288759047955336
orbit_p0.1300.bin,1.0,1.5,0.4,False,0.000954594233969325,4.712388980384691,0.13,2310087.4595994814,ST,0.07692977620315156
orbit_p0.1400.bin,1.0,1.5,0.4,False,0.000954594233969325,4.712388980384691,0.14,153392.06804537415,CA,
orbit_p0.1500.bin,1.0,1.5,0.4,False,0.000954594233969325,4.712388980384691,0.15,12504.431407730903,CA,
