file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.08.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.08,2582756.29681712,ST,0.0445917083993505
orbit_a0.09.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.09,2582756.29681712,ST,0.047485180770687245
orbit_a0.10.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.1,2582756.29681712,ST,0.048864183076640456
orbit_a0.11.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.11,2582756.29681712,ST,0.050117157879103306
orbit_a0.12.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.12,2582756.29681712,ST,0.05410660788290971
orbit_a0.13.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.13,386808.94355970406,CA,
orbit_a0.14.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.14,90034.53343030383,CA,
orbit_a0.15.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.15,8125.496510451882,CA,
orbit_a0.16.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.16,8662.079336067667,CA,
orbit_a0.17.bin,1.0,1.0,0.5,True,0.0,3.9269908169872414,0.17,8131.282648767243,CA,
