file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.1400.bin,1.0,0.25,0.5,False,0.000954594233969325,1.5707963267948966,0.14,3266957.015633596,ST,0.07129117813757191
orbit_p0.1500.bin,1.0,0.25,0.5,False,0.000954594233969325,1.5707963267948966,0.15,3266957.015633596,ST,0.09042166162200126
orbit_p0.1600.bin,1.0,0.25,0.5,False,0.000954594233969325,1.5707963267948966,0.16,3266957.015633596,ST,0.07080916039820198
orbit_p0.1700.bin,1.0,0.25,0.5,False,0.000954594233969325,1.5707963267948966,0.17,354838.22731555963,CA,
orbit_p0.1800.bin,1.0,0.25,0.5,False,0.000954594233969325,1.5707963267948966,0.18,150314.77696215632,CA,
