file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.0700.bin,1.0,1.4999999999999998,0.6,True,0.0,4.712388980384691,0.07,2310087.4595994814,ST,0.04767300710856642
orbit_a0.0800.bin,1.0,1.4999999999999998,0.6,True,0.0,4.712388980384691,0.08,2310087.4595994814,ST,0.05516401360909751
orbit_a0.0900.bin,1.0,1.4999999999999998,0.6,True,0.0,4.712388980384691,0.09,820224.0754772249,CA,
orbit_a0.1000.bin,1.0,1.4999999999999998,0.6,True,0.0,4.712388980384691,0.1,36165.6315363593,CA,
