file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_p0.0350.bin,1.0,4.0,0.7,False,0.028637827019079756,0.0,0.035,1633478.507816798,ST,0.03950984712956903
orbit_p0.0400.bin,1.0,4.0,0.7,False,0.028637827019079756,0.0,0.04,1633478.507816798,ST,0.04773656946775754
orbit_p0.0450.bin,1.0,4.0,0.7,False,0.028637827019079756,0.0,0.045,1633478.507816798,ST,0.055338030021590254
orbit_p0.0500.bin,1.0,4.0,0.7,False,0.028637827019079756,0.0,0.05,757939.0534020625,EJ,
orbit_p0.0550.bin,1.0,4.0,0.7,False,0.028637827019079756,0.0,0.055,149610.21299901436,CA,
