{'file': 'orbit_a0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.32, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.33, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.141592653589793, 'a (AU)': 0.34, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.3100.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 3.9269908169872414, 'a (AU)': 0.31, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 3.9269908169872414, 'a (AU)': 0.32, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 3.9269908169872414, 'a (AU)': 0.33, 't_stop (day)': 948412.6693951831, 'stability': 'CA'}
{'file': 'orbit_p0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 3.9269908169872414, 'a (AU)': 0.34, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.3100.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.9269908169872414, 'a (AU)': 0.31, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.9269908169872414, 'a (AU)': 0.32, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.9269908169872414, 'a (AU)': 0.33, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 3.9269908169872414, 'a (AU)': 0.34, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.3100.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.31, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.32, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.3300.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.33, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_p0.3400.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': False, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.34, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.3100.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.31, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
{'file': 'orbit_a0.3200.bin', 'm_A (Msun)': 1.0, 'm_B (Msun)': 0.25, 'e': 0.1, 'apapse': True, 'm_P (Msun)': 0.0, 'l (rad)': 4.71238898038469, 'a (AU)': 0.32, 't_stop (day)': 3266957.015633596, 'stability': 'ST'}
