file,m_A (Msun),m_B (Msun),e,apapse,m_P (Msun),l (rad),a (AU),t_stop (day),stability,delta_r
orbit_a0.0700.bin,1.0,9.0,0.3,True,0.028637827019079756,0.0,0.06999999999999999,1155043.7297997407,ST,0.020413472436573904
orbit_a0.0800.bin,1.0,9.0,0.3,True,0.028637827019079756,0.0,0.08,1155043.7297997407,ST,0.023805205468469093
orbit_a0.0900.bin,1.0,9.0,0.3,True,0.028637827019079756,0.0,0.09,1155043.7297997407,ST,0.031041539190499148
orbit_a0.1000.bin,1.0,9.0,0.3,True,0.028637827019079756,0.0,0.1,1155043.7297997407,ST,0.042368021358669475
orbit_a0.1100.bin,1.0,9.0,0.3,True,0.028637827019079756,0.0,0.11,25528.95502731074,CB,
